,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Unnamed: 0,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Cash from Operating Activity +,Cash from Investing Activity +,Cash from Financing Activity +,Net Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,ROCE %,Promoters +,FIIs +,DIIs +,Government +,Public +,No. of Shareholders,Promoters +,FIIs +,DIIs +,Government +,Public +,No. of Shareholders
Dec 2021,"31,964","19,796","12,168",38%,99,644,"1,360","10,263",25%,"7,683",6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2022,"36,681","24,447","12,234",33%,430,646,"1,380","10,639",26%,"7,839",6.42,,"129,021","77,892","51,130",40%,"1,217","2,792","5,464","44,091",25%,"33,011",27.03,19%,"1,222","124,211","36,525","60,028","221,986","94,290","14,542","43,498","69,656","221,986","41,986","-34,168","-7,368",450,9,194,205,-2,-36,32%,33.92%,22.87%,20.41%,0.10%,22.70%,"15,87,315",33.92%,22.87%,20.41%,0.10%,22.70%,"15,87,315"
Jun 2022,"32,021","22,453","9,568",30%,681,722,"1,344","8,183",25%,"6,114",5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92%,21.95%,19.01%,0.10%,25.02%,"20,47,661",,,,,,
Sep 2022,"34,643","29,977","4,666",13%,795,994,"1,443","3,023",27%,"2,215",1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92%,21.52%,18.17%,0.16%,26.23%,"33,71,417",,,,,,
Dec 2022,"33,929","28,793","5,136",15%,717,"1,117","1,503","3,233",27%,"2,364",1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90%,21.87%,19.62%,0.16%,24.45%,"33,35,265",,,,,,
Mar 2023,"38,048","29,393","8,655",23%,-214,"1,096","1,504","5,842",29%,"4,172",3.41,,"142,913","114,643","28,271",20%,"1,750","3,975","5,956","20,090",27%,"14,685",12.02,30%,"1,222","135,386","43,304","62,782","242,696","97,423","22,169","42,436","80,668","242,696","13,506","-14,794","-5,193","-6,481",7,140,112,35,-24,14%,33.90%,20.62%,20.68%,0.16%,24.63%,"36,44,090",33.90%,20.62%,20.68%,0.16%,24.63%,"36,44,090"
Jun 2023,"35,487","28,779","6,708",19%,"1,473","1,020","1,484","5,677",8%,"5,214",4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90%,20.28%,20.96%,0.16%,24.70%,"36,92,750",,,,,,
Sep 2023,"34,198","27,292","6,905",20%,"-12,171","1,116","1,482","-7,864",8%,"-8,491",-6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.90%,20.31%,22.20%,0.16%,23.43%,"38,04,728",,,,,,
Dec 2023,"34,686","26,392","8,293",24%,336,"1,038","1,519","6,071",23%,"4,699",3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70%,20.01%,23.15%,0.16%,22.99%,"39,92,609",,,,,,
